Potential/V, Current/A
-0.103,2.66E-04
-0.102,2.66E-04
-0.101,2.66E-04
-0.1,2.66E-04
-0.099,2.66E-04
-0.098,2.66E-04
-0.097,2.67E-04
-0.096,2.67E-04
-0.095,2.67E-04
-0.094,2.67E-04
-0.093,2.67E-04
-0.092,2.67E-04
-0.091,2.67E-04
-0.09,2.67E-04
-0.089,2.67E-04
-0.088,2.67E-04
-0.087,2.67E-04
-0.086,2.67E-04
-0.085,2.67E-04
-0.084,2.68E-04
-0.083,2.68E-04
-0.082,2.68E-04
-0.081,2.68E-04
-0.08,2.68E-04
-0.079,2.68E-04
-0.078,2.68E-04
-0.077,2.68E-04
-0.076,2.68E-04
-0.075,2.68E-04
-0.074,2.68E-04
-0.073,2.68E-04
-0.072,2.68E-04
-0.071,2.69E-04
-0.07,2.69E-04
-0.069,2.69E-04
-0.068,2.69E-04
-0.067,2.69E-04
-0.066,2.69E-04
-0.065,2.69E-04
-0.064,2.69E-04
-0.063,2.69E-04
-0.062,2.69E-04
-0.061,2.69E-04
-0.06,2.69E-04
-0.059,2.69E-04
-0.058,2.70E-04
-0.057,2.70E-04
-0.056,2.70E-04
-0.055,2.70E-04
-0.054,2.70E-04
-0.053,2.70E-04
-0.052,2.70E-04
-0.051,2.70E-04
-0.05,2.70E-04
-0.049,2.70E-04
-0.048,2.70E-04
-0.047,2.70E-04
-0.046,2.70E-04
-0.045,2.70E-04
-0.044,2.70E-04
-0.043,2.70E-04
-0.042,2.70E-04
-0.041,2.70E-04
-0.04,2.70E-04
-0.039,2.70E-04
-0.038,2.70E-04
-0.037,2.70E-04
-0.036,2.70E-04
-0.035,2.70E-04
-0.034,2.70E-04
-0.033,2.70E-04
-0.032,2.70E-04
-0.031,2.70E-04
-0.03,2.70E-04
-0.029,2.70E-04
-0.028,2.70E-04
-0.027,2.70E-04
-0.026,2.70E-04
-0.025,2.70E-04
-0.024,2.70E-04
-0.023,2.70E-04
-0.022,2.70E-04
-0.021,2.70E-04
-0.02,2.70E-04
-0.019,2.70E-04
-0.018,2.70E-04
-0.017,2.70E-04
-0.016,2.70E-04
-0.015,2.70E-04
-0.014,2.69E-04
-0.013,2.69E-04
-0.012,2.69E-04
-0.011,2.69E-04
-0.01,2.69E-04
-0.009,2.69E-04
-0.008,2.69E-04
-0.007,2.69E-04
-0.006,2.69E-04
-0.005,2.69E-04
-0.004,2.69E-04
-0.003,2.69E-04
-0.002,2.69E-04
-0.001,2.69E-04
0,2.69E-04
0.001,2.69E-04
0.002,2.68E-04
0.003,2.68E-04
0.004,2.68E-04
0.005,2.68E-04
0.006,2.68E-04
0.007,2.68E-04
0.008,2.68E-04
0.009,2.68E-04
0.01,2.68E-04
0.011,2.68E-04
0.012,2.68E-04
0.013,2.68E-04
0.014,2.68E-04
0.015,2.68E-04
0.016,2.67E-04
0.017,2.67E-04
0.018,2.67E-04
0.019,2.67E-04
0.02,2.67E-04
0.021,2.67E-04
0.022,2.67E-04
0.023,2.67E-04
0.024,2.67E-04
0.025,2.67E-04
0.026,2.67E-04
0.027,2.67E-04
0.028,2.66E-04
0.029,2.66E-04
0.03,2.66E-04
0.031,2.66E-04
0.032,2.66E-04
0.033,2.66E-04
0.034,2.66E-04
0.035,2.66E-04
0.036,2.66E-04
0.037,2.65E-04
